paper_id,equation_id,context,ground_truth_eq,ground_truth_description,generated_equation,generated_description
ICML_2024_oral_132,4,"\). It can be shown that this update procedure is \((\alpha,\epsilon_{\alpha})\)-RDP for some computable \(\epsilon_{\alpha}\)(Mironov et al., 2019). The end-to-end learning algorithm by running \(T\) iterations of SGD is thus \((\alpha,T\epsilon_{\alpha})\)-RDP via composition (Mironov, 2017), and a conversion to \((\epsilon,\delta)\)-DP can be obtained using equation 2. Such privatization mechanism--per-sample clipping and injecting noise--can be easily integrated with other first-order optimization algorithms such as Adam (Kingma & Ba, 2014) and AdamW (Loshchilov & Hutter, 2017).

**Self-supervised learning (SSL)** has emerged as a prominent approach for scaling up the training of machine learning models to large-scale unlabeled datasets. Restricting our attention to the vision domain, SSL pre-trained models generalize effectively across a wide range of transfer learning downstream tasks such as classification, instance segmentation and object detection (Chen et al., 2020; Bommasani et al., 2021), especially under the scenario of limited downstream training data. Vision SSL methods can be broadly categorized as either _joint embedding-based learning_ (JE) (Chen et al., 2020; He et al., 2020; Grill et al., 2020; Zbontar et al., 2021; Chen & He, 2021) or _reconstruction-based learning_ (REC) (Bao et al., 2021; Xie et al., 2022; He et al., 2022). JE-based approaches design objective functions so that all views (or image augmentations) of the same sample have similar embeddings, while views of different samples have different embeddings. As a result, most JE-based approaches _require_ a batch containing multiple samples in order to define the objective function. On the other hand, REC-based approaches aim to optimize models to reconstruct image inputs in the pixel space based on partially masked inputs, which promotes the model to learn compressed representations that can generalize well.

**Related Work**

**Scaling up DP training.** Recently, an expanding body of literature has emerged on scaling DP training to large-scale datasets and models in both NLP and vision domains. In NLP, a series of works (Yu et al., 2021; Li et al., 2022a) showed that by combining public pre-training and scaling up the training batch size, it is possible to fine-tune the pre-trained language model to achieve reasonable downstream performance. In computer vision, Kurakin et al. (2022) first attempted to scale DP training of convolutional neural networks (ResNets) to ImageNet. De et al. (2022) further improved the performance of Kurakin et al. (2022) with a Normalizer-Free ResNet architecture and an improved training recipe. More recently, Sander et al. (2022) proposed a more efficient hyperparameter tuning method for DP training that led to state-of-the-art performance on ImageNet. It is worth noting that all these works on DP-trained computer vision models focus on training supervised models.

Figure 2: **How to pre-train differentially private transformers (_ViP_) with synthetic data?** In Step 1, we first pre-train a MAE model on synthetic images with standard optimizers (_e.g._, SGD, AdamW). We denote this model by _(Syn)-ViP_. In Step 2, we use the MAE model pre-trained on synthetic images as initialization, and then apply differential private optimizers (_e.g._, DP-SGD, DP-AdamW) to train a _ViP_ model that satisfies \((\epsilon,\delta)\)-DP.

**DP pre-training.** There are existing work on exploring the possibility of learning effective representations with large-scale differentially private pre-training. In particular, Anil et al. (2021) studied how to DP pre-train BERT models and Ponomareva et al. (2022) focused on pre-training T5 models (Raffel et al., 2020) with DP. The main difference between this work and Anil et al. (2021); Ponomareva et al. (2022) is that ours focuses on pre-training vision foundation models, whereas Anil et al. (2021); Ponomareva et al. (2022) focused on pre-training language models. To the best of our knowledge, this is the first work to explore how to pre-train large-scale vision foundation models. Furthermore, previous works (Anil et al., 2021; Ponomareva et al., 2022) lack comprehensive studies on the learned representations of the DP pre-trained models, such as linear probing and few-shot learning. In contrast, we conduct extensive experiments on understanding the quality of the learned representations in this paper. Recent work by Ganesh et al. (2023) considered a simplified toy setting and demonstrated that public pre-training is necessary for training DP models in this specific context. However, this does not rule out the possibility of effective DP representation learning in large-scale real-world scenarios, as shown in this work.

## 3 Recipe for Training DP Foundation Vision Models

In this work, we identify a successful recipe for training differentially private foundation vision models. Training DP foundation models, or in general any deep learning model with a large number of parameters, poses a significant challenge due to the large amount of injected noise--\(\mathcal{N}(0,\sigma^{2}C^{2}\mathbf{I})\) in equation 3. Indeed, current state-of-the-art differentially private deep learning models even under-perform linear models with handcrafted features when \(\epsilon\) is small (De et al., 2022; Tramer and Boneh, 2020). We propose two effective techniques that reduce the magnitude of noise injected during training while attaining strong \((\epsilon,\delta)\)-DP guarantees: **1.** Scaling up the number of training samples via self-supervised learning with masked autoencoder; and **2.** Facilitating faster training by warm-starting the model with weights pre-trained on synthetic samples.

### Differential Private SSL with Mask Autoencoder

Most existing works on differentially private training (De et al., 2022; Sander et al., 2022; Bu et al., 2022) focus on supervised learning, which inherently restricts the quantity of training samples that can be utilized. In contrast, self-supervised learning approaches unlock the use of (albeit uncurated) internet-scale training data that can be on the order of billions of samples, which can potentially satisfy the amount of data needed for DP training of high-utility models (Tramer and Boneh, 2020).

On the other hand, most existing SSL training approaches do not align with requirements in DP-SGD training. For example, SimCLR (Chen et al., 2020) requires a mini-batch of samples in order to compute the contrastive loss; BYOL (Grill et al., 2020) computes per-sample loss but it utilizes batch normalization (BN) (Ioffe and Szegedy, 2015) in the model architecture, resulting in each loss depending on a mini-batch of training samples.3 Therefore, it is challenging to perform the per-sample gradient clipping as described in equation 3. Among various types of SSL methods, we identify reconstruction-base learning with masked autoencoders (MAE) (He et al., 2022) as one of the most suitable SSL approaches for training DP foundation vision models. The training objective \(L_{\text{MAE}}(\mathbf{\theta})\) is defined as:

Footnote 3: Subsequent work by Richemond et al. (2020) demonstrated that BN can be substituted with group normalization by carefully modifying the model architecture. However, we have observed that the design of exponential moving averaged online network in BYOL can result in dynamic instability during training, which poses challenges in the context of DP training.","L_{\text{MAE}}(\mathbf{\theta}):=\frac{1}{n}\sum_{i=1}^{n}\underbrace{\xi_{\text{ MSE}}(g\circ\psi(\text{mask}(\mathbf{x}_{i});\mathbf{\theta}),\mathbf{x}_{i})}_{ \ell(\mathbf{x}_{i};\mathbf{\theta})},","where \(n\) is the number of training samples, \(\mathbf{x}_{i}\in\mathbb{R}^{C\times H\times W}\) is the input of the \(i\)-th training image (\(C\)-number of channels, \(H\)-height, \(W\)-width), mask\((\cdot)\) is a function that mask out a fraction of the image, \(\psi:\mathbb{R}^{C\times H\times W}\rightarrow\mathbb{R}^{d}\) is the encoder and \(g:\mathbb{R}^{d}\rightarrow\mathbb{R}^{C\times H\times W}\) is the decoder","L_{\text{MAE}}(\mathbf{\theta}) = \mathbb{E}_{\mathbf{x} \sim \mathcal{D}} \left[ \frac{1}{|\mathcal{M}(\mathbf{x})|} \sum_{\mathbf{z} \in \mathcal{M}(\mathbf{x})} \ell_{\text{rec}}(\mathbf{z}; \mathbf{\theta}) \right],","The MAE training objective computes the expected reconstruction loss over masked views of each sample, making it compatible with DP-SGD due to its per-sample independence."
ICML_2024_oral_15,1,"### Distortion Optimality

Previous works considered the design of \(\mathcal{T}\) only with respect to \(\mathcal{X}\). As mentioned above, Shannon's rate-distortion theory can be applied to acquire \(\mathcal{T}\) as an optimal split of \(\mathscr{X}\), formulated as:","\min_{p(T|X)}\quad I(X;T),",where \(I(X;T)\) denotes the mutual information of \(X\) and \(T\),"\begin{equation}
\mathcal{T}^* = \arg\min_{\mathcal{T}} \left\{ D(\mathcal{T}) : R(\mathcal{T}) \leq R_0 \right\},
\end{equation}",Optimal transform $\mathcal{T}^*$ minimizing distortion $D(\mathcal{T})$ under a rate constraint $R_0$.
ICML_2024_oral_15,2,"\). This formalization allows for a reconsideration of the optimal \(T\) given \(X\) for previous works, as will be analyzed in Section 4.

Information retrieval involves another term, \(Q\), and the optimization can be extended as follows:",\min_{p(T|X)} I(X;T),,"\min_{p(T|X)}\quad I(X;T) - \beta I(T;Q),","where $I(T;Q)$ denotes the mutual information between $T$ and $Q$, and $\beta$ is a trade-off parameter."
ICML_2024_oral_15,3,(2) s.t.,"I(T;Q)\geq\varepsilon,",where \(\varepsilon>0\) is a threshold,"\text{subject to } D(X, T) \leq \epsilon,","where $D(X, T)$ represents the distortion measure between $X$ and $T$, and $\epsilon$ is the maximum allowable distortion."
ICML_2024_oral_15,4,"ld. This additional constraint is essential, as \(I(X;T)=0\) when \(T\) is constant, but it also decreases \(I(T;Q)\). The mutual information \(I(T;Q)\) is closely connected to the likelihood \(p(T|Q)\) that reflects retrieval accuracy; therefore, having \(I(T;Q)\) in the optimization problem facilitates optimization of retrieval accuracy.

Formula (2) characterizes the tradeoff between index conciseness, denoted by \(I(X;T)\), and retrieval accuracy, linked to \(I(T;Q)\). This dual perspective highlights the superiority of one indexing method over another: for a fixed \(I(X;T)\), aiming for a higher \(I(T;Q)\) improves retrieval accuracy. Conversely, with a constant \(I(T;Q)\), the emphasis shifts towards more compact indexes, encouraging the sharing of semantics across the indexes.

This optimal split is equivalently reformulated via a Lagrangian \(\mathcal{L}\) as follows:","\mathcal{L}(p(T|X))=I(X;T)-\beta I(T;Q),",where \(\beta\) is the Lagrange multiplier,"\mathcal{L}(p(T|X)) = I(X;T) - \beta I(T;Q),",where $\beta$ is a Lagrange multiplier balancing the tradeoff between index conciseness and retrieval accuracy.
ICML_2024_oral_15,5,"er. This coefficient \(\beta\) determines the relative importance of \(I(T;Q)\) in \(\mathcal{L}\). When \(\beta\to 0\), the latter term can be ignored, and \(T\) shrinks to a single point so that the former term decreases to 0. Conversely, as \(\beta\) becomes large, \(T\) tends to simply copy \(X\)Because the possibilities for \(X\) are observed via the subset \(\mathcal{X}\), a large \(\beta\) corresponds to observing more documents.

To summarize, \(\beta\) is a hyperparameter related to the document set's size, \(|\mathcal{X}|\). This is natural because the optimal indexing \(p^{*}(T|X)\) would change if the number of documents increases. Nevertheless, some indexing method is optimal with respect to different \(\beta\) under certain assumptions, as we will show in Section 4.

### GDR Bottleneck

We now examine the tradeoff, or bottleneck, between \(I(X;T)\) and \(I(T;Q)\). Tishby & Zaslavsky (2015) showed that the Lagrangian in Formula (3) is equivalent to the following:",\mathcal{L}(p(T|X))=I(X;T)+\beta I(X;Q|T)+\text{constant}.,,\mathcal{L}(p(T|X)) = I(X;T) - \beta I(T;Q),where $\beta$ controls the tradeoff between index conciseness and retrieval accuracy
ICML_2024_oral_15,6,"The equivalence requires assuming the Markovian relation \(T\leftrightarrow X\leftrightarrow Q\), i.e., \(p(T|X,Q)=p(T|X)\), and Appendix A.1 summarizes the proof.

In this formulation, the conditional mutual information \(I(X;Q|T)\) quantifies the information distortion due to \(T\). \(I(X;Q)\) is constant and unrelated to the indexing \(T\). Hence, a small \(I(X;Q|T)\) means a good \(T\) for representing the joint distribution \(p(X,Q)\).

As mentioned above, Tishby et al. (2000) defined this tradeoff as an _information bottleneck_. The bottleneck can be visualized by a curve in the space of the two terms of Formula (4), as shown in Figure 2. The lower bound of \(I(X;Q|T)\) captures the optimal indexing, and it monotonically decreases as \(I(X;T)\) increases. We will empirically show in Section 6.1 that this bottleneck curve indeed occurs for GDR.

### A Theoretical Solution to Optimality

Tishby et al. (2000) showed that a stationarity point of the Lagrangian \(\mathcal{L}\) in Formula (4) must satisfy the following equation:","p^{*}(T|X)=\frac{p^{*}(T)}{Z(X,\beta)}\exp\Bigl{(}-\beta\text{KL}[p(Q|X) \ \big{\|}\ p(Q|T)]\Bigr{)},","where \(Z(X,\beta)\) is a probability normalization term, \(p^{*}(T)=\mathbb{E}_{X}[p^{*}(T|X)]\)","p^{*}(T|X)=\frac{p(T)}{Z(X)}\exp\left(-\beta D_{\mathrm{KL}}\left(p(Q|X)\parallel p(Q|T)\right)\right),",where $Z(X)$ is the normalization constant and $D_{\mathrm{KL}}$ denotes the Kullback-Leibler divergence
ICML_2024_oral_15,7,"\). The Kullback-Leibler divergence term reflects the information distortion caused by \(f:x\mapsto t\) in terms of the discrepancy between \(p(Q|x)\) and \(p(Q|t)\).

In GDR, we pursue an indexing \(f:x\mapsto t\) that is consistent with this optimal solution \(p^{*}(T|X)\). That is, the identifier string \(t=f(x)\) for a document \(x\) should be drawn from this ""best"" probability distribution \(p^{*}(T|X=x)\). A natural way to incorporate this intuition is to evaluate \(f\) by a likelihood function \(p(\mathcal{X},\mathcal{Q}|f)\) defined as follows.

**Definition 3.1**.: \(f:\mathcal{X}\to\mathcal{T}\) is called a _bottleneck-minimal indexing_ (BMI) if it maximizes the likelihood function as follows:","p(\mathcal{X},\mathcal{Q}|f)\equiv\prod_{x\in\mathcal{X}}p^{*}\big{(}X=x\ \big{|}\ T=f(x)\big{)}.",where \(p^{*}\) is given by Formula (5),"p(\mathcal{X},\mathcal{Q}|f)=\prod_{x\in\mathcal{X}}p^{*}(T=f(x))\exp\Bigl{(}-\beta\text{KL}[p(Q|x)\ \big{\|}\ p(Q|T=f(x))]\Bigr{)}.","where $p^{*}(T=f(x))$ is the marginal distribution of $T$, and the exponential term involves the Kullback-Leibler divergence between $p(Q|x)$ and $p(Q|T=f(x))$"
ICML_2024_oral_15,8,"5).

Definition 3.1 is presented in a general manner, intentionally avoiding assumptions about any specific distribution family for \(p(Q|X)\) and \(p(Q|T)\) as outlined in Formula (5). In Section 4, we will examine some existing indexing methods regarding their relations with BMI. Under this background, a new indexing method will be introduced in Section 4.4.

## 4 Indexing Methods

In the following, we consider \(\mathcal{X}\) as the semantic vector space produced by a pretrained BERT model. In this section we introduce different indexing methods under this perspective and compare them theoretically, while Section 6.2 describes our experimental comparison.

An index \(t\in\mathcal{T}\) is represented as a sequence of elements of _alphabet_, denoted as \(V\). An ID string of length \(m\) is represented as \(t=[t_{1},\cdots,t_{m}]\), where \(t_{i}\in V\) is the string's \(i\)-th ""digit"" for \(i=1,\cdots,m\).

### Hierarchical Random Indexing (HRI)

We consider the most basic method, random indexing. For each document, an ID digit is randomly selected according to some prior distribution \(p(T)\). \(\mathcal{X}\) is partitioned into \(|V|\) subsets. Furthermore, each subset is recursively partitioned for representation by \(V\). The recursive subdivision constitutes a _hierarchy_ of subdivisions of depth \(m\). A special case arises when \(|V|\geq|\mathcal{X}|\) and \(m=1\); such indexing is termed _atomic_(Tay et al., 2022), since \(\mathcal{T}\) lacks hierarchical structure.

A representative partition is obtained when \(p(Q|X)\) is uniformly distributed over a compact subset of \(\mathcal{X}\). In this case, queries corresponding to a document \(x\) are completely unrelated to the semantics of \(x\).

Figure 2: Bottleneck curves

In the experiments described in Section 6.2, we set \(V=[1,2,\cdots,30]\). The ID string's maximum length \(m\) was set to the minimum value such that \(|V|^{m}\geq|\mathcal{X}|\).

### Hierarchical \(k\)-Means Indexing (HKmI)

The typical indexing uses a hierarchical \(k\)-means clustering algorithm. A document's ID string \(t=[t_{1},\cdots,t_{m}]\) is set to the indices of clusters of depth \(m\), such that the document belongs at every level of the hierarchy, where \(k\)-means clustering is applied to partition the set of documents.

In a \(k\)-means clustering process, the clusters' centroid vectors are optimized to minimize the sum of the squared distances from each centroid to the cluster members. This procedure can be interpreted within a maximum-likelihood formulation by assuming that a document belonging to a cluster is sampled from a Gaussian distribution with the mean vector as the centroid.

Hence, \(k\)-means provides a BMI if we assume \(p(Q|X)\sim N(\mu_{x},\Sigma)\) and \(p(Q|T)\sim N(\mu_{t},\sigma^{2}I)\), where \(N\) represents a Gaussian distribution; \(\mu_{x}\) and \(\mu_{t}\) are mean vectors specific to \(x\) and \(t\), respectively; \(\Sigma\) is any covariance matrix; and \(\sigma^{2}I\) is a diagonal matrix. This conclusion immediately follows from substituting the Gaussian density functions into Formula (5). The optimality holds for any choice of \(\beta\) in Formula (3). A proof is provided in Appendix A.2. The linkage between \(k\)-means clustering and information bottleneck theory has been theoretically explored by Still et al. (2003) in depth.

Following Tay et al. (2022), we set \(\mu_{x}\) as the vectoral embedding generated by a BERT model (Devlin et al., 2019) for a document \(x\). In our experiments, we used the same settings for \(V\) and \(m\) as in HRI (Section 4.1). These settings were used as the default for the _neural corpus indexer_ (NCI) (Wang et al., 2022).

### Locality-Sensitive Hashing Indexing (LSHI)

Locality-sensitive hashing (LSH) can be considered in the same formulation. In LSH the index \(t_{i}\) is Boolean; that is, \(V=\{0,1\}\), where each element of \(t=[t_{1},\cdots,t_{i},\cdots,t_{m}]\) is independently generated by a \(p\)-stable LSH algorithm (Datar et al., 2004), which is a hyperplane classifier in Euclidean space. The hyperplane's location and direction are randomly determined. Unlike hierarchical indexing methods, LSH-based indexing does not produce ""semantic prefixes""; nevertheless, \(\mathcal{T}\) encodes location-related information.

In our experiments, LSH indexing was implemented in three steps. First, a standard LSH code, a Boolean vector, was acquired for every document. Second, every fifth entry of the vector was mapped to \(V=[1,2,\cdots,32]\). Third, LSH code collisions were resolved by appending additional digits acquired by a hierarchical \(k\)-means algorithm.

### Our Proposal: Bottleneck-Minimal Indexing (BMI)

Formula (5) indicates that the optimal indexing is dictated by the distributions \(p(Q|X)\) and \(p(Q|T)\) over the query space, rather than the document space. In other words, any indexing method implemented without considering the distribution of \(Q\) would not be able to acquire the optimal indexing. Typical previous works on GDR have this problem. The concept of leveraging query information has been empirically investigated in the contexts of vector quantization (Gupta et al., 2022; Lu et al., 2023) and recommendation systems (Zeng et al., 2023); our contribution extends this exploration by offering a theoretical rationale for the significance of query distribution, grounded in information bottleneck theory.

Hence, we propose a new indexing method that incorporates both the queries and the documents. For the purposes of simplicity in this paper, we assume \(p(Q|X=x)\) and \(p(Q|T=t)\) to follow Gaussian distributions, enabling the analytical derivation of bottleneck-minimizing indexing. In a manner akin to HKmI discussed in Section 4.2, \(k\)-means emerges as the optimal indexing strategy under this Gaussian assumption. However, our approach diverges from HKmI by employing hierarchical \(k\)-means clustering on the set \(\{\mu_{Q|x}:\forall x\in\mathcal{X}\}\), which comprises the mean vectors of the Gaussian \(p(Q|X=x)\) for each document \(x\). We examine \(k\)-means here for a fair comparison with HKmI, in addition to its simplicity. However, Definition 3.1 of BMI can be used to analyze more complex clustering algorithms under more sophisticated assumptions on \(p(Q|x)\) and \(p(Q|t)\).

Unlike \(\mu_{x}\) for HKmI, however, it is not straightforward to obtain \(\mu_{Q|x}\), and it must be estimated for each document \(x\). In this paper, we estimate \(\mu_{Q|x}\) as the mean of the BERT embeddings of queries generated from document \(x\), which is the maximum-likelihood estimator given the previously mentioned Gaussian distribution assumption of \(p(Q|x)\). A proof is provided in Appendix A.3. We chose BERT for consistency with previous works, including DSI (Tay et al., 2022) and NCI (Wang et al., 2022); in a future work, we may examine other models that are adapted to short texts.

Let \(\mathcal{Q}_{x}\) denote a set of queries for \(x\). The document \(x\) is now represented by mean(BERT(\(\mathcal{Q}_{x}\))), the mean vector of the BERT embeddings of queries in \(\mathcal{Q}_{x}\), instead of the document's BERT embedding. The hierarchical \(k\)-means algorithm is applied to \(\{\mu_{Q|x}=\text{mean}(\text{BERT}(\mathcal{Q}_{x})):x\in\mathcal{X}\}\), which produces a new set of ID strings, \(\mathcal{T}\).

We follow Wang et al. (2022) in constructing \(\mathcal{Q}_{x}\) to comprise the following three kinds of queries, as follows:

**RealQ:**: Real queries from the training set;

**GenQ:** Queries generated by a pretrained model docT5query1(Nogueira et al., 2019);

**DocSeg:** Random segments of the original documents.

Footnote 1: huggingface.co/castorini/doc2query-t5-base-msmarco

Section 5.1 gives the details of generating these queries.

In a real application, the distributions \(p(Q|X=x)\) and \(p(Q|T=t)\) may deviate from Gaussian assumptions, potentially exhibiting multi-modal characteristics. Under these conditions, \(k\)-means clustering methods become suboptimal and should be replaced by another sophisticated clustering methods that reflect the true distribution of the data. Developing such methods form a future direction.

## 5 Data and Settings

### Datasets and Metrics

We evaluated different indexing methods on two datasets: NQ320K (Kwiatkowski et al., 2019), and MARCO Lite, which is a subset extracted from the document ranking dataset in MS MARCO (Nguyen et al., 2016). The upper half of Table 1 summarizes the basic statistics of the two datasets.

The entire MS MARCO dataset has 3.2 million documents and 367,013 queries. MARCO Lite was constructed by first randomly selecting half the queries and then extracting those queries' gold-standard documents.

The lower half of Table 1 summarizes our proposed method's generated queries (i.e., \(\mathcal{Q}_{x}\)) for creating document ID strings, as described at the end of Section 4.4. For NQ320K, we followed the settings in Wang et al. (2022) to produce 15 **GenQ** queries; for MARCO Lite, we produced 5 **GenQ** queries per document. As for **DocSeg** queries, we randomly selected 10\(\sim\)12 segments (depending on the document length) per document as queries for both datasets; each segment had around 60 words.

We followed previous works by using the recall (Rec@N) and mean reciprocal rank (MRR) for evaluation, where a higher Rec@N or MRR indicates a better GDR system. For each query, GDR produces a ranking of documents with respect to their degrees of relevance to the query, via a beam-search procedure as suggested in Tay et al. (2022). In our evaluation across two datasets, each query was associated with a single gold-standard document. The Rec@N measures the percentage of queries for which the gold-standard document is among the top N documents in the ranking, while the MRR is equal to the gold-standard document's MRR. We used values of \(N=1,10,100\).

### Model and Training Settings

We used the same neural-network architecture as in NCI (Wang et al., 2022). For sequence-to-sequence generation of an index for a query, the NCI architecture combined a standard transformer (Vaswani et al., 2017) with a _prefix-aware weight-adaptive_ (PAWA) decoder. The Transformer encoder's parameters were initialized with T5 weights (Raffel et al., 2020) acquired by large-scale pretraining, while the decoder weights were randomly initialized.

We tested models of different sizes, which were initialized from the weights of T5-tiny2, T5-mini3, T5-small4, and T5-base5, where the string after ""T5"" indicates the weights. The PAWA decoder had four transformer layers. All models were trained using the default hyperparameters of NCI, as provided in its official GitHub repository6.

Footnote 2: [https://huggingface.co/google/t5-efficient-tiny](https://huggingface.co/google/t5-efficient-tiny)

Footnote 3: [https://huggingface.co/google/t5-efficient-mini](https://huggingface.co/google/t5-efficient-mini)

Footnote 4: [https://huggingface.co/t5-small](https://huggingface.co/t5-small)

Footnote 5: [https://huggingface.co/t5-base](https://huggingface.co/t5-base)

Footnote 6: github.com/solidsea98/Neural-Corpus-Indexer-NCI

For ablation tests, we considered different \(\mathcal{Q}_{x}\) variants. Apart from setting \(\mathcal{Q}_{x}=\text{GenQ}+\text{RealQ}+\text{DocSeg}\) to include all three kinds of queries, we also tested GenQ alone and \(\text{GenQ}+\text{RealQ}\). In addition, the previous method of clustering documents by their embeddings also constitutes an ablated version, denoted here as **Doc**, because it is almost equivalent to DocSeg, which uses an average of random document segments.

### Estimation of Mutual Information

To verify the information bottleneck in GDR, the mutual information \(I(X;T)\) and \(I(X;Q|T)\) must be calculated. They are defined as follows:","I(X;T) =\mathbb{E}_{X,T}\log\frac{p(X|T)}{p(X)}, || I(X;Q|T) =\mathbb{E}_{X,T,Q}\log\frac{p(X,Q|T)}{p(X|T)p(Q|T)}",,"tags and the description in <description>. The description for Equation 8 should be a one-sentence variable description. Since Equation 8 is defining mutual information, the description could be something like ""where $I(X;T)$ denotes the mutual information between $X$ and $T$"".

Wait, but looking back at the previous equations, for Equation 1 the description was ""where $I(X;T)$ denotes the mutual information of $X$ and $T$"", and Equation 4 had a similar description. However, in Equation 8, since it's the definition, the description might just be stating that it's the mutual information definition.

But the user instruction says: ""wrap one sentence variable description in <description>..."". So the description should explain what the equation is, not just restate the variables. For example, ""Definition of mutual information between $X$ and $T$"".

Putting it all together, the LaTeX code for Equation 8 should be the standard mutual information formula, written in summation form for discrete variables. The description should indicate that this is the definition of mutual information between X and T.
</think>",". The description for Equation 8 should be a one-sentence variable description. Since Equation 8 is defining mutual information, the description could be something like ""where $I(X;T)$ denotes the mutual information between $X$ and $T$"".

Wait, but looking back at the previous equations, for Equation 1 the description was ""where $I(X;T)$ denotes the mutual information of $X$ and $T$"", and Equation 4 had a similar description. However, in Equation 8, since it's the definition, the description might just be stating that it's the mutual information definition.

But the user instruction says: ""wrap one sentence variable description in"
ICML_2024_oral_15,9,(8),"=\mathbb{E}_{X,T,Q}\log\frac{p(X|Q)}{p(T|Q)}\frac{p(T)}{p(X)}.",,"I(X;Q|T) =\mathbb{E}_{X,T,Q}\log\frac{p(X,Q|T)}{p(X|T)p(Q|T)}","Conditional mutual information quantifying the information distortion due to the index $T$ in representing the joint distribution $p(X,Q)$"
ICML_2024_oral_22,1,"### Diffusion Background

Denoising diffusion probabilistic models (DDPMs) (Sohl-Dickstein et al., 2015; Ho et al., 2020) or diffusion models are defined by a forward and reverse random Markov process. The forward process takes clean data and iteratively corrupts it with noise to train a neural network \(\mathbf{\epsilon}_{\theta}\). The network \(\mathbf{\epsilon}_{\theta}\) typically inputs (noisy) data \(\mathbf{x}_{t}\), the diffusion step \(t\), and (text) conditioning information \(\mathbf{c}\). The reverse process takes random noise \(\mathbf{x}_{T}\sim\mathcal{N}(0,I)\) and iteratively refines it with the learned network to generate new data \(\mathbf{x}_{0}\) over \(T\) time steps (e.g., \(1000\)) via the sampling process,","\mathbf{x}_{t-1}=\frac{1}{\sqrt{\alpha_{t}}}\Big{(}\mathbf{x}_{t}-\frac{1-\alpha_{t}} {\sqrt{1-\bar{\alpha}_{t}}}\mathbf{\epsilon}_{\theta}(\mathbf{x}_{t},t,\mathbf{c})\Big{)} +\sigma_{t}\mathbf{\epsilon},","where \(\mathbf{\epsilon}\sim\mathcal{N}(0,I)\), \(\alpha_{0}:=1\), \(\alpha_{t}\) and \(\bar{\alpha}_{t}\) define the noise schedule, \(\sigma_{t}\) is the sampling standard deviation","\begin{equation}
\mathbf{x}_{t-1} = \frac{1}{\sqrt{\alpha_t}} \left( \mathbf{x}_t - \frac{1 - \alpha_t}{\sqrt{1 - \bar{\alpha}_t}} \mathbf{\epsilon}_{\theta}(\mathbf{x}_t, t, \mathbf{c}) \right) + \sigma_t \mathbf{z},
\end{equation}","Equation 1 defines the reverse process update rule for denoising diffusion probabilistic models (DDPMs), where $\mathbf{x}_t$ is the noisy input at step $t$, $\mathbf{\epsilon}_{\theta}$ is the learned noise prediction network, $\alpha_t$ and $\bar{\alpha}_t$ are variance schedule parameters, $\sigma_t$ controls the noise scale, and $\mathbf{z} \sim \mathcal{N}(0, I)$ is standard Gaussian noise."
ICML_2024_oral_22,2,"on. To reduce sampling time, Denoising Diffusion Implicit Model (DDIM) sampling (Song et al., 2020) uses an alternative optimization objective that yields a faster sampling process (e.g., \(20-50\) steps) that can be deterministic. Broadly, we can denote any sampling algorithm with the notation \(\mathbf{x}_{t-1}=\texttt{Sampler}(\mathbf{\epsilon}_{\theta},\mathbf{x}_{t},t,\mathbf{c})\).

To improve text conditioning, classifier-free guidance (CFG) can be used to blend conditional and unconditional generation outputs (Ho and Salimans, 2021). When training with CFG, conditioning is randomly set to a null value a fraction of the time. During inference, the diffusion model output \(\mathbf{\epsilon}_{\theta}(\mathbf{x}_{t},t,\mathbf{c})\) is linearly combined with \(\mathbf{\epsilon}_{\theta}(\mathbf{x}_{t},t,\mathbf{c}_{\Theta})\) using the CFG scale \(w\), where \(\mathbf{c}_{\theta}\) are null embeddings. Note, CFG during inference doubles the forward passes of \(\mathbf{\epsilon}_{\theta}\). For a diffusion model review, see Appendix A.

### Problem Formulation

Instead of trying to control diffusion models by using expensive supervised training or inexact inference-time guidance-based methods, we alternatively formulate the control task as an _optimization_ problem. Notably, we can denote the output of the model after running the sampler for a total of \(T\) sampling steps as \(\mathbf{x}_{0}=\texttt{Sampler}_{T}(\mathbf{\epsilon}_{\theta},\mathbf{x}_{T},\mathbf{c})\), showing that the final output is a function of the _initial_ noise latents \(\mathbf{x}_{T}\sim~{}\mathcal{N}(0,I)\).

While \(\mathbf{x}_{T}\) is normally just considered to be a random seed, we can instead treat the initial noise latents as a free parameter to be optimized at inference-time. In particular, we define a target feature extractor \(f(\cdot)\), which only needs to be differentiable, and some corresponding loss function \(\mathcal{L}\) to measure how well the model output's particular feature matches a target control \(\mathbf{y}\). With this, we can then directly optimize \(\mathbf{x}_{T}\)_through_ the sampling process such that the model output \(\mathbf{x}_{0}\) follows the target control. Formally,","\mathbf{x}_{T}^{*} =\arg\min_{\mathbf{x}_{T}}\mathcal{L}(f(\mathbf{x}_{0}),\mathbf{y}) || \mathbf{x}_{0} =\texttt{Sampler}_{T}(\mathbf{\epsilon}_{\theta},\mathbf{x}_{T},\mathbf{c})",,"\mathbf{x}_{T}^{*}=\arg\min_{\mathbf{x}_{T}}\mathcal{L}\big{(}f(\texttt{Sampler}_{T}(\mathbf{\epsilon}_{\theta},\mathbf{x}_{T},\mathbf{c})),\mathbf{y}\big{)}.",Optimization problem formulation to find the optimal initial noise latents $\mathbf{x}_{T}^{*}$ that minimize the loss between the model output features and the target control $\mathbf{y}$.
